sample_id,organism,study_title,study_abstract,bioproject,biosample,library_strategy,library_source,library_selection,library_layout,instrument,run_spots,run_bases,run_published
ERR9123871,Silene latifolia subsp. alba,Chemical genetics in Silene latifolia elucidate regulatory pathways involved in gynoecium development,"Dioecious plants possess diverse sex determination systems and unique mechanisms of reproductive organ development; however, little is known about how sex-linked genes shape the expression of regulatory cascades that lead to developmental differences between sexes. suggested that female-regulator genes act on the factors that determine the boundaries of the flower whorls. To identify these regulators, we sequenced the transcriptome of male flowers with fully developed gynoecia, induced by rapid demethylation in the parental generation. us Eight candidates were found to have a positive role in gynoecium promotion, floral organ size, whorl boundary, and affect the expression of class B MADS-box flower genes. To complement our transcriptome analysis, we closely examined the floral organs in their native state using a field emission environmental scanning electron microscopy, and examined the differences between females and androhermaphrodites in their placenta and ovule organization. Our results reveal the regulatory pathways potentially involved in sex-specific flower development in the classical model of dioecy, S. latifolia. These pathways include previously hypothesized and unknown female-regulator genes that act on the factors that determine the flower boundaries, and negative regulator of anther development, SUPERMAN-like (SlSUP).",PRJEB36078,SAMEA7773503,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,75922486,12147597760,2022-05-13 05:01:40
ERR9123872,Silene latifolia subsp. alba,Chemical genetics in Silene latifolia elucidate regulatory pathways involved in gynoecium development,"Dioecious plants possess diverse sex determination systems and unique mechanisms of reproductive organ development; however, little is known about how sex-linked genes shape the expression of regulatory cascades that lead to developmental differences between sexes. suggested that female-regulator genes act on the factors that determine the boundaries of the flower whorls. To identify these regulators, we sequenced the transcriptome of male flowers with fully developed gynoecia, induced by rapid demethylation in the parental generation. us Eight candidates were found to have a positive role in gynoecium promotion, floral organ size, whorl boundary, and affect the expression of class B MADS-box flower genes. To complement our transcriptome analysis, we closely examined the floral organs in their native state using a field emission environmental scanning electron microscopy, and examined the differences between females and androhermaphrodites in their placenta and ovule organization. Our results reveal the regulatory pathways potentially involved in sex-specific flower development in the classical model of dioecy, S. latifolia. These pathways include previously hypothesized and unknown female-regulator genes that act on the factors that determine the flower boundaries, and negative regulator of anther development, SUPERMAN-like (SlSUP).",PRJEB36078,SAMEA7773492,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,44402899,7104463840,2022-05-13 06:00:40
ERR9123874,Silene latifolia subsp. alba,Chemical genetics in Silene latifolia elucidate regulatory pathways involved in gynoecium development,"Dioecious plants possess diverse sex determination systems and unique mechanisms of reproductive organ development; however, little is known about how sex-linked genes shape the expression of regulatory cascades that lead to developmental differences between sexes. suggested that female-regulator genes act on the factors that determine the boundaries of the flower whorls. To identify these regulators, we sequenced the transcriptome of male flowers with fully developed gynoecia, induced by rapid demethylation in the parental generation. us Eight candidates were found to have a positive role in gynoecium promotion, floral organ size, whorl boundary, and affect the expression of class B MADS-box flower genes. To complement our transcriptome analysis, we closely examined the floral organs in their native state using a field emission environmental scanning electron microscopy, and examined the differences between females and androhermaphrodites in their placenta and ovule organization. Our results reveal the regulatory pathways potentially involved in sex-specific flower development in the classical model of dioecy, S. latifolia. These pathways include previously hypothesized and unknown female-regulator genes that act on the factors that determine the flower boundaries, and negative regulator of anther development, SUPERMAN-like (SlSUP).",PRJEB36078,SAMEA7773494,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,48579605,7772736800,2022-05-13 06:00:40
ERR9123875,Silene latifolia subsp. alba,Chemical genetics in Silene latifolia elucidate regulatory pathways involved in gynoecium development,"Dioecious plants possess diverse sex determination systems and unique mechanisms of reproductive organ development; however, little is known about how sex-linked genes shape the expression of regulatory cascades that lead to developmental differences between sexes. suggested that female-regulator genes act on the factors that determine the boundaries of the flower whorls. To identify these regulators, we sequenced the transcriptome of male flowers with fully developed gynoecia, induced by rapid demethylation in the parental generation. us Eight candidates were found to have a positive role in gynoecium promotion, floral organ size, whorl boundary, and affect the expression of class B MADS-box flower genes. To complement our transcriptome analysis, we closely examined the floral organs in their native state using a field emission environmental scanning electron microscopy, and examined the differences between females and androhermaphrodites in their placenta and ovule organization. Our results reveal the regulatory pathways potentially involved in sex-specific flower development in the classical model of dioecy, S. latifolia. These pathways include previously hypothesized and unknown female-regulator genes that act on the factors that determine the flower boundaries, and negative regulator of anther development, SUPERMAN-like (SlSUP).",PRJEB36078,SAMEA7773495,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,54720766,8755322560,2022-05-13 05:01:40
ERR9123876,Silene latifolia subsp. alba,Chemical genetics in Silene latifolia elucidate regulatory pathways involved in gynoecium development,"Dioecious plants possess diverse sex determination systems and unique mechanisms of reproductive organ development; however, little is known about how sex-linked genes shape the expression of regulatory cascades that lead to developmental differences between sexes. suggested that female-regulator genes act on the factors that determine the boundaries of the flower whorls. To identify these regulators, we sequenced the transcriptome of male flowers with fully developed gynoecia, induced by rapid demethylation in the parental generation. us Eight candidates were found to have a positive role in gynoecium promotion, floral organ size, whorl boundary, and affect the expression of class B MADS-box flower genes. To complement our transcriptome analysis, we closely examined the floral organs in their native state using a field emission environmental scanning electron microscopy, and examined the differences between females and androhermaphrodites in their placenta and ovule organization. Our results reveal the regulatory pathways potentially involved in sex-specific flower development in the classical model of dioecy, S. latifolia. These pathways include previously hypothesized and unknown female-regulator genes that act on the factors that determine the flower boundaries, and negative regulator of anther development, SUPERMAN-like (SlSUP).",PRJEB36078,SAMEA7773496,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,45506168,7280986880,2022-05-13 06:00:40
ERR9123877,Silene latifolia subsp. alba,Chemical genetics in Silene latifolia elucidate regulatory pathways involved in gynoecium development,"Dioecious plants possess diverse sex determination systems and unique mechanisms of reproductive organ development; however, little is known about how sex-linked genes shape the expression of regulatory cascades that lead to developmental differences between sexes. suggested that female-regulator genes act on the factors that determine the boundaries of the flower whorls. To identify these regulators, we sequenced the transcriptome of male flowers with fully developed gynoecia, induced by rapid demethylation in the parental generation. us Eight candidates were found to have a positive role in gynoecium promotion, floral organ size, whorl boundary, and affect the expression of class B MADS-box flower genes. To complement our transcriptome analysis, we closely examined the floral organs in their native state using a field emission environmental scanning electron microscopy, and examined the differences between females and androhermaphrodites in their placenta and ovule organization. Our results reveal the regulatory pathways potentially involved in sex-specific flower development in the classical model of dioecy, S. latifolia. These pathways include previously hypothesized and unknown female-regulator genes that act on the factors that determine the flower boundaries, and negative regulator of anther development, SUPERMAN-like (SlSUP).",PRJEB36078,SAMEA7773497,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,49278668,7884586880,2022-05-13 06:00:40
ERR9123878,Silene latifolia subsp. alba,Chemical genetics in Silene latifolia elucidate regulatory pathways involved in gynoecium development,"Dioecious plants possess diverse sex determination systems and unique mechanisms of reproductive organ development; however, little is known about how sex-linked genes shape the expression of regulatory cascades that lead to developmental differences between sexes. suggested that female-regulator genes act on the factors that determine the boundaries of the flower whorls. To identify these regulators, we sequenced the transcriptome of male flowers with fully developed gynoecia, induced by rapid demethylation in the parental generation. us Eight candidates were found to have a positive role in gynoecium promotion, floral organ size, whorl boundary, and affect the expression of class B MADS-box flower genes. To complement our transcriptome analysis, we closely examined the floral organs in their native state using a field emission environmental scanning electron microscopy, and examined the differences between females and androhermaphrodites in their placenta and ovule organization. Our results reveal the regulatory pathways potentially involved in sex-specific flower development in the classical model of dioecy, S. latifolia. These pathways include previously hypothesized and unknown female-regulator genes that act on the factors that determine the flower boundaries, and negative regulator of anther development, SUPERMAN-like (SlSUP).",PRJEB36078,SAMEA7773498,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,42463478,6794156480,2022-05-13 05:01:40
ERR9123879,Silene latifolia subsp. alba,Chemical genetics in Silene latifolia elucidate regulatory pathways involved in gynoecium development,"Dioecious plants possess diverse sex determination systems and unique mechanisms of reproductive organ development; however, little is known about how sex-linked genes shape the expression of regulatory cascades that lead to developmental differences between sexes. suggested that female-regulator genes act on the factors that determine the boundaries of the flower whorls. To identify these regulators, we sequenced the transcriptome of male flowers with fully developed gynoecia, induced by rapid demethylation in the parental generation. us Eight candidates were found to have a positive role in gynoecium promotion, floral organ size, whorl boundary, and affect the expression of class B MADS-box flower genes. To complement our transcriptome analysis, we closely examined the floral organs in their native state using a field emission environmental scanning electron microscopy, and examined the differences between females and androhermaphrodites in their placenta and ovule organization. Our results reveal the regulatory pathways potentially involved in sex-specific flower development in the classical model of dioecy, S. latifolia. These pathways include previously hypothesized and unknown female-regulator genes that act on the factors that determine the flower boundaries, and negative regulator of anther development, SUPERMAN-like (SlSUP).",PRJEB36078,SAMEA7773499,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,51202593,8192414880,2022-05-13 06:00:40
ERR9123880,Silene latifolia subsp. alba,Chemical genetics in Silene latifolia elucidate regulatory pathways involved in gynoecium development,"Dioecious plants possess diverse sex determination systems and unique mechanisms of reproductive organ development; however, little is known about how sex-linked genes shape the expression of regulatory cascades that lead to developmental differences between sexes. suggested that female-regulator genes act on the factors that determine the boundaries of the flower whorls. To identify these regulators, we sequenced the transcriptome of male flowers with fully developed gynoecia, induced by rapid demethylation in the parental generation. us Eight candidates were found to have a positive role in gynoecium promotion, floral organ size, whorl boundary, and affect the expression of class B MADS-box flower genes. To complement our transcriptome analysis, we closely examined the floral organs in their native state using a field emission environmental scanning electron microscopy, and examined the differences between females and androhermaphrodites in their placenta and ovule organization. Our results reveal the regulatory pathways potentially involved in sex-specific flower development in the classical model of dioecy, S. latifolia. These pathways include previously hypothesized and unknown female-regulator genes that act on the factors that determine the flower boundaries, and negative regulator of anther development, SUPERMAN-like (SlSUP).",PRJEB36078,SAMEA7773500,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,54162836,8666053760,2022-05-13 05:01:40
ERR9123881,Silene latifolia subsp. alba,Chemical genetics in Silene latifolia elucidate regulatory pathways involved in gynoecium development,"Dioecious plants possess diverse sex determination systems and unique mechanisms of reproductive organ development; however, little is known about how sex-linked genes shape the expression of regulatory cascades that lead to developmental differences between sexes. suggested that female-regulator genes act on the factors that determine the boundaries of the flower whorls. To identify these regulators, we sequenced the transcriptome of male flowers with fully developed gynoecia, induced by rapid demethylation in the parental generation. us Eight candidates were found to have a positive role in gynoecium promotion, floral organ size, whorl boundary, and affect the expression of class B MADS-box flower genes. To complement our transcriptome analysis, we closely examined the floral organs in their native state using a field emission environmental scanning electron microscopy, and examined the differences between females and androhermaphrodites in their placenta and ovule organization. Our results reveal the regulatory pathways potentially involved in sex-specific flower development in the classical model of dioecy, S. latifolia. These pathways include previously hypothesized and unknown female-regulator genes that act on the factors that determine the flower boundaries, and negative regulator of anther development, SUPERMAN-like (SlSUP).",PRJEB36078,SAMEA7773501,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,51016490,8162638400,2022-05-13 08:13:32
