UniqueCount	AmbigCount
5	0
10	0
7	0
5	0
9	0
4	0
4	0
7	0
9	0
6	0
25	0
5	0
5	0
9	0
4	0
5	0
4	0
6	0
5	0
16	0
6	0
4	0
13	0
5	0
4	0
6	0
6	0
4	0
8	0
4	0
4	0
7	0
6	0
8	0
5	0
7	0
4	0
6	0
15	0
4	0
4	0
4	0
4	0
9	0
6	0
8	0
6	0
7	0
4	0
6	0
5	0
8	0
25	0
8	0
4	0
9	0
4	0
7	0
4	0
8	0
7	5
8	5
4	0
6	0
8	0
12	0
14	0
34	0
8	0
9	0
11	0
6	0
9	0
9	0
8	0
10	0
18	0
12	0
7	0
263	0
20	0
6	0
8	0
258	0
4	0
5	0
5	0
16	0
6	0
13	0
5	0
12	128
5	81
18	160
4	0
4	0
24	0
5	0
9	0
4	0
11	0
8	0
8	0
37	38
19	38
5	0
4	0
7	0
7	0
6	0
14	0
15	0
31	0
6	0
7	0
4	0
42	2
197	0
6	0
6	0
28	0
12	0
8	0
10	0
32	0
6	0
5	0
13	0
16	0
26	0
8	0
4	0
19	0
6	0
4	0
5	0
7	0
8	0
15	0
10	0
8	0
6	0
11	0
