UniqueCount	AmbigCount
18	0
4	0
11	0
7	0
6	0
9	0
5	0
4	0
8	7
3	7
6	0
11	0
4	0
6	0
19	0
5	0
4	0
6	0
5	0
4	0
12	0
6	0
14	0
7	0
9	0
4	0
6	0
9	0
7	0
7	0
12	0
4	0
8	0
5	0
18	0
13	0
5	0
4	0
5	0
7	0
5	0
7	0
4	0
8	0
5	0
6	0
6	0
5	0
6	0
4	0
7	0
24	0
6	0
10	0
5	0
7	0
7	0
16	0
7	0
25	5
4	5
7	0
7	0
22	0
13	0
10	0
10	0
10	0
7	0
5	0
11	0
10	0
9	0
8	0
4	0
11	0
6	0
4	0
4	0
5	0
21	0
12	0
7	0
4	0
7	0
6	0
0	57
0	55
12	50
0	14
7	47
0	13
3	47
8	0
18	0
6	0
13	37
89	37
4	0
254	0
6	0
1	19
2	19
31	0
13	0
6	0
6	0
17	0
8	0
76	0
6	0
250	0
218	0
10	0
5	0
7	0
2	8
4	8
5	0
43	0
4	0
4	0
10	0
6	0
9	0
11	0
5	0
5	0
6	0
8	0
4	0
7	0
5	0
9	0
53	0
15	0
4	0
4	0
5	0
6	0
4	0
11	0
12	0
5	0
10	0
15	0
10	0
5	0
5	0
